old,new
suvenir,souvenir
tokotoko,toko toko
nggak,tidak
gak,tidak
jlmalioboro,jalan malioboro
jln,jalan
jl,jalan
benarbenar,sangat
orangorang,orang orang
jalanjalan,jalan jalan
barangbarang,barang
tawarmenawar,tawar menawar
hatihati,hati hati
kadangkadang,kadang kadang
bringharjo,beringharjo
asyik,asik
malem,malam
manamana,mana mana
anakanak,anak anak
dgn,dengan
dr,dari
klo,kalau
sampe,sampai
tp,tapi
utk,untuk
tdk,tidak
bgt,banget
byk,banyak
jg,juga
org,orang
dg,dengan
