old,new
makanan,makan
pedagang,dagang
membeli,beli
berjalan,jalan
menawar,tawar
menjual,jual
menemukan,temu
penjual,jual
mengunjungi,kunjung
terkenal,kenal
berkunjung,kunjung
pejalan,jalan
memiliki,milik
dikunjungi,kunjung
perbelanjaan,belanja
harganya,harga
menyenangkan,senang
dijual,jual
pengunjung,kunjung
mencari,cari
tersedia,sedia
jajanan,jajan
berjualan,jual
disana,sana
ditawarkan,tawar
disepanjang,panjang
terbaik,sangat baik
pilihan,pilih
mencoba,coba
dipenuhi,penuh
kunjungi,kunjung
tempatnya,tempat
berbeda,beda
menawarkan,tawar
kunjungan,kunjung
perjalanan,jalan
dagangan,dagang
ditawar,tawar
menyusuri,susur
jualan,jual
membawa,bawa
menyempatkan,sempat
berjalanjalan,jalan
kehidupan,hidup
berfoto,foto
disediakan,sedia
menjajakan,jual
disarankan,saran
perbaikan,benah
menghabiskan,habis
merasakan,rasa
pastikan,pasti
tersendiri,sendiri
berlibur,libur
banyaknya,banyak
sayangnya,sayang
penjaja,jual
kebanyakan banyak,
bepergian,pergi
ditambah,tambah
melewati,lewat
kesana,sana
pertokoan,toko
dagangannya,dagang
berkeliling,keliling
kesenian,seni
merekomendasikan,rekomendasi
menjelajahi,jelajah
berbelanja,belanja
jelanan,jalan
wisatawan,wisata
tawarkan,tawar
